3
159 
   1.000000e-04    2.764000e+01    4.530801e+01 
   1.174900e-04    4.313000e+01    6.227078e+01 
   1.318260e-04    5.875000e+01    7.768753e+01 
   1.479110e-04    8.007000e+01    9.711522e+01 
   1.659590e-04    1.087000e+02    1.203832e+02 
   1.741350e-04    1.484000e+02    1.174545e+02 
   1.742080e-04    1.125000e+02    1.166242e+02 
   1.742570e-04    7.433000e+01    1.159670e+02 
   1.862090e-04    4.332000e+01    1.504188e+02 
   2.041740e-04    5.636000e+01    1.841863e+02 
   2.238720e-04    7.329000e+01    2.234306e+02 
   2.511890e-04    1.010000e+02    2.804199e+02 
   2.818380e-04    1.390000e+02    3.558380e+02 
   3.162280e-04    1.917000e+02    4.502960e+02 
   3.548130e-04    2.652000e+02    5.708656e+02 
   3.981070e-04    3.653000e+02    7.157891e+02 
   4.466840e-04    4.912000e+02    8.893509e+02 
   5.011870e-04    6.635000e+02    1.102067e+03 
   5.623410e-04    8.935000e+02    1.363383e+03 
   6.309570e-04    1.188000e+03    1.639898e+03 
   6.709100e-04    1.560000e+03    1.778327e+03 
   6.719300e-04    2.077000e+03    1.571340e+03 
   6.721800e-04    1.570000e+03    1.524206e+03 
   6.760830e-04    1.080000e+03    1.708536e+03 
   7.585780e-04    1.443000e+03    2.275114e+03 
   8.511380e-04    1.909000e+03    2.752783e+03 
   9.364400e-04    2.503000e+03    3.062933e+03 
   9.464400e-04    3.281000e+03    2.657462e+03 
   9.486200e-04    2.153000e+03    2.794151e+03 
   1.023290e-03    2.419000e+03    3.652787e+03 
   1.174900e-03    3.306000e+03    4.491170e+03 
   1.348960e-03    4.402000e+03    5.245162e+03 
   1.621810e-03    5.845000e+03    5.967854e+03 
   1.722000e-03    7.793000e+03    5.247495e+03 
   1.726800e-03    5.856000e+03    5.525924e+03 
   1.741300e-03    6.305000e+03    7.210541e+03 
   1.747700e-03    8.257000e+03    7.536803e+03 
   1.750200e-03    1.112000e+04    7.082652e+03 
   1.752700e-03    1.148000e+04    5.291366e+03 
   1.754200e-03    9.283000e+03    3.862001e+03 
   1.755600e-03    6.898000e+03    3.071649e+03 
   1.757400e-03    5.214000e+03    3.309786e+03 
   1.763600e-03    4.862000e+03    4.725852e+03 
   1.819700e-03    5.155000e+03    6.382601e+03 
   2.089300e-03    6.747000e+03    7.781424e+03 
   2.291800e-03    9.068000e+03    7.317978e+03 
   2.305400e-03    1.309000e+04    6.821774e+03 
   2.308800e-03    1.194000e+04    5.158668e+03 
   2.311000e-03    9.450000e+03    3.937165e+03 
   2.317500e-03    6.394000e+03    4.028168e+03 
   2.339300e-03    5.357000e+03    6.104275e+03 
   2.398830e-03    5.047000e+03    8.096229e+03 
   2.691530e-03    6.361000e+03    1.090087e+04 
   3.162280e-03    8.591000e+03    1.292954e+04 
   3.801890e-03    1.162000e+04    1.427704e+04 
   4.327500e-03    1.530000e+04    1.473534e+04 
   4.347300e-03    2.066000e+04    1.597121e+04 
   4.358000e-03    1.510000e+04    1.648335e+04 
   4.677350e-03    8.964000e+03    1.419879e+04 
